"","match_id","id","goals","own_goals","shots","xG","time","player_id","team_id","position","player","h_a","yellow_card","red_card","roster_in","roster_out","key_passes","assists","xA","xGChain","xGBuildup","positionOrder"
"27",15873,"430477","0","0","0","0","15","4670","181","Sub","Moussa Konate","a","1","0","0","430475","0","0","0","0","0","17"
"28",15873,"430478","0","0","0","0","22","8316","181","Sub","Roger Assalé","a","0","0","0","430472","0","0","0","0","0","17"
"29",15873,"430476","0","0","0","0","3","5725","181","Sub","Jordan Marié","a","0","0","0","430474","0","0","0","0","0","17"
"1",15875,"430716","0","0","0","0","90","3518","175","GK","Jessy Moulin","h","0","0","0","0","0","0","0","0","0","1"
"2",15875,"430717","0","0","0","0","90","967","175","DR","Mathieu Debuchy","h","1","0","430729","0","0","0","0","0.021957213059067726","0.021957213059067726","2"
"3",15875,"430719","0","0","0","0","90","7750","175","DC","Harold Moukoudi","h","0","0","0","0","0","0","0","0.027604833245277405","0.027604833245277405","3"
"4",15875,"430718","0","0","0","0","90","2063","175","DC","Timothée Kolodziejczak","h","1","0","0","0","0","0","0","0.021957213059067726","0.021957213059067726","3"
"5",15875,"430720","0","0","1","0.021957213059067726","90","7751","175","DL","Miguel Trauco","h","0","0","0","0","1","0","0.019253527745604515","0.04121074080467224","0.021957213059067726","4"
"6",15875,"430721","0","0","0","0","90","5773","175","MR","Zaydou Youssef","h","0","0","430730","0","0","0","0","0.021957213059067726","0.021957213059067726","8"
"7",15875,"430722","0","0","0","0","90","8689","175","MC","Yvan Neyou","h","1","0","0","0","0","0","0","0.021957213059067726","0.021957213059067726","9"
"8",15875,"430723","0","0","0","0","90","6452","175","MC","Mahdi Camara","h","1","0","0","0","1","0","0.021957213059067726","0.027604833245277405","0.027604833245277405","9"
"9",15875,"430724","0","0","3","0.10287047177553177","90","3781","175","ML","Denis Bouanga","h","0","0","0","0","0","0","0","0.12482768297195435","0.021957213059067726","10"
"10",15875,"430725","0","0","1","0.05675538256764412","76","3561","175","FW","Romain Hamouma","h","0","0","430727","0","1","0","0.04067781940102577","0.11939041316509247","0.021957213059067726","15"
"11",15875,"430726","1","0","2","0.8007729649543762","68","734","175","FW","Wahbi Khazri","h","0","0","430728","0","1","0","0.05675538256764412","0.09743320196866989","0","15"
"12",15875,"430728","0","0","0","0","22","5684","175","Sub","Arnaud Nordin","h","0","0","0","430726","0","0","0","0","0","17"
"13",15875,"430729","0","0","0","0","1","8186","175","Sub","Nelson Sissoko","h","0","0","0","430717","0","0","0","0","0","17"
"14",15875,"430727","0","0","0","0","14","3343","175","Sub","Ryad Boudebouz","h","0","0","0","430725","1","0","0.005647620651870966","0.0836169421672821","0.07796932011842728","17"
"15",15875,"430730","0","0","0","0","1","8372","175","Sub","Lucas Gourna Douath","h","0","0","0","430721","0","0","0","0","0","17"
"16",15875,"430731","0","0","0","0","90","3737","160","GK","Mike Maignan","a","0","0","0","0","0","0","0","0","0","1"
"17",15875,"430732","0","0","0","0","90","7754","160","DR","Tiago Djaló","a","0","0","0","0","0","0","0","0.12892338633537292","0.12892338633537292","2"
"18",15875,"430734","0","0","0","0","90","834","160","DC","José Fonte","a","0","0","0","0","0","0","0","0.20262880623340607","0.20262880623340607","3"
"19",15875,"430733","0","0","0","0","90","8635","160","DC","Sven Botman","a","0","0","0","0","1","0","0.025180883705615997","0.11180775612592697","0.08662687242031097","3"
"20",15875,"430735","0","0","0","0","70","7755","160","DL","Domagoj Bradaric","a","1","0","430744","0","0","0","0","0.08662687242031097","0.08662687242031097","4"
"21",15875,"430736","0","0","0","0","70","7717","160","MR","Isaac Lihadji","a","0","0","430743","0","1","0","0.02528761513531208","0.012259436771273613","0.012259436771273613","8"
"22",15875,"430737","0","0","0","0","90","6310","160","MC","Boubakary Soumare","a","0","0","0","0","1","0","0.024357089772820473","0.024357089772820473","0","9"
