"","id","isResult","h.id","h.title","h.short_title","a.id","a.title","a.short_title","goals.h","goals.a","xG.h","xG.a","datetime","forecast.w","forecast.d","forecast.l"
"96","14525",TRUE,83,Arsenal,ARS,229,Wolverhampton Wanderers,WOL,1,2,1.1185,2.0069,"2020-11-29 19:15:00",0.1526,0.2366,0.6108
"97","14532",TRUE,75,Leicester,LEI,228,Fulham,FLH,1,2,1.27814,2.03719,"2020-11-30 17:30:00",0.1823,0.2401,0.5776
"98","14526",TRUE,81,West Ham,WHU,71,Aston Villa,AVL,2,1,0.571633,2.39051,"2020-11-30 20:00:00",0.0322,0.1121,0.8557
"99","14537",TRUE,92,Burnley,BUR,72,Everton,EVE,1,1,0.730434,2.28139,"2020-12-05 12:30:00",0.0537,0.144,0.8023
"100","14540",TRUE,88,Manchester City,MCI,228,Fulham,FLH,2,0,3.26328,0.287444,"2020-12-05 15:00:00",0.9658,0.0301,0.0041
"101","14544",TRUE,81,West Ham,WHU,89,Manchester United,MUN,1,3,2.53006,1.78708,"2020-12-05 17:30:00",0.5546,0.2197,0.2257
"102","14538",TRUE,80,Chelsea,CHE,245,Leeds,LED,3,1,4.89472,1.0277,"2020-12-05 20:00:00",0.9757,0.0189,0.0054
"103","14543",TRUE,76,West Bromwich Albion,WBA,78,Crystal Palace,CRY,1,5,0.567234,1.68656,"2020-12-06 12:00:00",0.1028,0.2216,0.6756
"104","14541",TRUE,238,Sheffield United,SHE,75,Leicester,LEI,1,2,0.290743,1.3904,"2020-12-06 14:15:00",0.0609,0.2424,0.6967
"105","14542",TRUE,82,Tottenham,TOT,83,Arsenal,ARS,2,0,0.390629,0.595216,"2020-12-06 16:30:00",0.1973,0.4601,0.3426
"106","14539",TRUE,87,Liverpool,LIV,229,Wolverhampton Wanderers,WOL,4,0,1.59454,0.357753,"2020-12-06 19:15:00",0.7432,0.1988,0.058
"107","14536",TRUE,220,Brighton,BRI,74,Southampton,SOU,1,2,2.03376,1.34801,"2020-12-07 20:00:00",0.5465,0.2771,0.1764
"108","14548",TRUE,245,Leeds,LED,81,West Ham,WHU,1,2,1.56644,1.7851,"2020-12-11 20:00:00",0.3202,0.2674,0.4124
"109","14552",TRUE,229,Wolverhampton Wanderers,WOL,71,Aston Villa,AVL,0,1,1.1356,1.26872,"2020-12-12 12:30:00",0.288,0.3207,0.3913
"110","14550",TRUE,86,Newcastle United,NEW,76,West Bromwich Albion,WBA,2,1,0.904163,0.57319,"2020-12-12 15:00:00",0.4254,0.3604,0.2142
"111","14549",TRUE,89,Manchester United,MUN,88,Manchester City,MCI,0,0,0.591617,1.28434,"2020-12-12 17:30:00",0.1496,0.2848,0.5656
"112","14546",TRUE,72,Everton,EVE,80,Chelsea,CHE,1,0,1.2216,1.00627,"2020-12-12 20:00:00",0.4004,0.3507,0.2489
"113","14551",TRUE,74,Southampton,SOU,238,Sheffield United,SHE,3,0,2.27973,0.219115,"2020-12-13 12:00:00",0.8969,0.089,0.0141
"114","14545",TRUE,78,Crystal Palace,CRY,82,Tottenham,TOT,1,1,1.84443,1.40792,"2020-12-13 14:15:00",0.4846,0.2605,0.2549
"115","14547",TRUE,228,Fulham,FLH,87,Liverpool,LIV,1,1,1.72509,1.82445,"2020-12-13 16:30:00",0.3366,0.2847,0.3787
"116","14553",TRUE,75,Leicester,LEI,220,Brighton,BRI,3,0,1.64351,0.791673,"2020-12-13 19:15:00",0.6082,0.2453,0.1465
"117","14554",TRUE,83,Arsenal,ARS,92,Burnley,BUR,0,1,1.85362,0.815375,"2020-12-13 19:15:00",0.6447,0.2211,0.1342
"118","14562",TRUE,229,Wolverhampton Wanderers,WOL,80,Chelsea,CHE,2,1,0.683783,1.56772,"2020-12-15 18:00:00",0.1287,0.2507,0.6206
"119","14564",TRUE,88,Manchester City,MCI,76,West Bromwich Albion,WBA,1,1,2.58593,0.210243,"2020-12-15 20:00:00",0.9138,0.0742,0.012
"120","14555",TRUE,83,Arsenal,ARS,74,Southampton,SOU,1,1,0.661135,1.11296,"2020-12-16 18:00:00",0.1907,0.3312,0.4781
"121","14558",TRUE,245,Leeds,LED,86,Newcastle United,NEW,5,2,2.95137,1.44437,"2020-12-16 18:00:00",0.7302,0.1724,0.0974
