"","id","isResult","h.id","h.title","h.short_title","a.id","a.title","a.short_title","goals.h","goals.a","xG.h","xG.a","datetime","forecast.w","forecast.d","forecast.l"
"81","15218",TRUE,125,Mainz 05,MAI,120,Hoffenheim,HOF,1,1,1.78391,1.1082,"2020-11-29 17:00:00",0.5538,0.254,0.1922
"82","15225",TRUE,122,Hertha Berlin,HER,240,Union Berlin,UNI,3,1,0.768378,0.268079,"2020-12-04 19:30:00",0.4785,0.4121,0.1094
"83","15223",TRUE,135,Freiburg,FRE,130,Borussia M.Gladbach,BMG,2,2,4.02129,1.66853,"2020-12-05 14:30:00",0.8511,0.0977,0.0512
"84","15224",TRUE,132,Eintracht Frankfurt,EIN,129,Borussia Dortmund,DOR,1,1,0.847822,1.1385,"2020-12-05 14:30:00",0.2564,0.3202,0.4234
"85","15227",TRUE,134,FC Cologne,COL,131,Wolfsburg,WOL,2,2,1.08565,1.90682,"2020-12-05 14:30:00",0.1704,0.2426,0.587
"86","15229",TRUE,262,Arminia Bielefeld,,125,Mainz 05,MAI,2,1,1.18485,2.54193,"2020-12-05 14:30:00",0.0728,0.1679,0.7593
"87","15221",TRUE,117,Bayern Munich,BAY,136,RasenBallsport Leipzig,RBL,3,3,1.00047,1.56492,"2020-12-05 17:30:00",0.1942,0.2785,0.5273
"88","15228",TRUE,123,Werder Bremen,WER,133,VfB Stuttgart,STU,1,2,0.647875,2.13261,"2020-12-06 14:30:00",0.0486,0.1356,0.8158
"89","15226",TRUE,124,Schalke 04,SCH,119,Bayer Leverkusen,LEV,0,3,1.22701,2.45305,"2020-12-06 17:00:00",0.1194,0.2032,0.6774
"90","15222",TRUE,120,Hoffenheim,HOF,121,Augsburg,AUG,3,1,1.45954,0.793064,"2020-12-07 19:30:00",0.5566,0.2603,0.1831
"91","15234",TRUE,131,Wolfsburg,WOL,132,Eintracht Frankfurt,EIN,2,1,2.81209,1.51392,"2020-12-11 19:30:00",0.7103,0.1863,0.1034
"92","15230",TRUE,129,Borussia Dortmund,DOR,133,VfB Stuttgart,STU,1,5,0.776004,3.07677,"2020-12-12 14:30:00",0.0319,0.0921,0.876
"93","15231",TRUE,136,RasenBallsport Leipzig,RBL,123,Werder Bremen,WER,2,0,2.40107,0.599394,"2020-12-12 14:30:00",0.8372,0.1215,0.0413
"94","15232",TRUE,130,Borussia M.Gladbach,BMG,122,Hertha Berlin,HER,1,1,1.35982,0.36509,"2020-12-12 14:30:00",0.6768,0.2456,0.0776
"95","15235",TRUE,135,Freiburg,FRE,262,Arminia Bielefeld,,2,0,2.43027,0.238384,"2020-12-12 14:30:00",0.9219,0.0646,0.0135
"96","15237",TRUE,125,Mainz 05,MAI,134,FC Cologne,COL,0,1,1.26169,0.838955,"2020-12-12 14:30:00",0.477,0.3046,0.2184
