"","id","isResult","h.id","h.title","h.short_title","a.id","a.title","a.short_title","goals.h","goals.a","xG.h","xG.a","datetime","forecast.w","forecast.d","forecast.l"
"68","15495",TRUE,113,Torino,TOR,115,Crotone,CRO,0,0,0.235946,0.300792,"2020-11-08 14:00:00",0.1606,0.6276,0.2118
"69","15488",TRUE,97,Bologna,BOL,105,Napoli,NAP,0,1,0.729048,1.40583,"2020-11-08 17:00:00",0.1558,0.3015,0.5427
"70","15492",TRUE,111,AC Milan,MIL,94,Verona,VER,2,2,3.65495,2.20988,"2020-11-08 19:45:00",0.6899,0.1757,0.1344
"71","15496",TRUE,115,Crotone,CRO,96,Lazio,LAZ,0,2,0.432377,1.79345,"2020-11-21 14:00:00",0.0684,0.1942,0.7374
"72","15503",TRUE,260,Spezia,,107,Atalanta,ATA,0,0,0.594898,2.20038,"2020-11-21 17:00:00",0.0567,0.1447,0.7986
"73","15499",TRUE,98,Juventus,JUV,116,Cagliari,CAG,2,0,2.54799,0.0831584,"2020-11-21 19:45:00",0.943,0.0532,0.0038
"74","15497",TRUE,110,Fiorentina,FIO,222,Benevento,BEN,0,1,1.21172,0.565303,"2020-11-22 11:30:00",0.5635,0.2942,0.1423
"75","15498",TRUE,106,Inter,INT,113,Torino,TOR,4,2,3.74566,1.97826,"2020-11-22 14:00:00",0.7835,0.1351,0.0814
"76","15501",TRUE,95,Roma,ROM,230,Parma Calcio 1913,PAR,3,0,3.20915,0.0318982,"2020-11-22 14:00:00",0.9848,0.0146,0.0006
"77","15502",TRUE,102,Sampdoria,SAM,97,Bologna,BOL,1,2,0.817944,1.73409,"2020-11-22 14:00:00",0.1319,0.238,0.6301
"78","15505",TRUE,94,Verona,VER,104,Sassuolo,SAS,0,2,1.3932,0.51,"2020-11-22 14:00:00",0.6225,0.258,0.1195
"79","15504",TRUE,99,Udinese,UDI,101,Genoa,GEN,1,0,0.413067,0.731116,"2020-11-22 17:00:00",0.1749,0.4124,0.4127
"80","15500",TRUE,105,Napoli,NAP,111,AC Milan,MIL,1,3,1.8847,1.83664,"2020-11-22 19:45:00",0.381,0.2584,0.3606
