"","player_id","X.1","match_id","id","minute","result","X","Y","xG","player.x","h_a","situation","season","shotType","match_id.1","h_team","a_team","h_goals","a_goals","date","player_assisted","lastAction","xG_sum_l","xG_sum_r","xG_sum_h","goal_count_l","goal_count_r","goal_count_h","shots_count_l","shots_count_r","shots_count_h","player.y","difference_shots","difference_goals","difference","xG_sum","goal_sum","shot_sum","goal_for_shot"
"26",26,2,12420,313178,13,"SavedShot",0.933000030517578,0.339000015258789,0.0605724155902863,"Salomon Kalou","h","OpenPlay",2019,"RightFoot",12420,"Hertha Berlin","Wolfsburg",0,3,"2019-08-25 17:00:00","Vladimir Darida","Pass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",26,10,12482,327031,68,"Goal",0.92,0.447000007629395,0.484198749065399,"Salomon Kalou","h","OpenPlay",2019,"RightFoot",12482,"Hertha Berlin","Hoffenheim",2,3,"2019-10-26 14:30:00",NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",26,12,12513,333521,90,"MissedShots",0.954000015258789,0.422999992370605,0.0531247816979885,"Salomon Kalou","h","OpenPlay",2019,"Head",12513,"Hertha Berlin","Borussia Dortmund",1,2,"2019-11-30 14:30:00","Davie Selke","HeadPass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",26,12,12482,327038,86,"MissedShots",0.916999969482422,0.572999992370606,0.145190730690956,"Salomon Kalou","h","OpenPlay",2019,"RightFoot",12482,"Hertha Berlin","Hoffenheim",2,3,"2019-10-26 14:30:00",NA,"Rebound",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",27,16,12456,323502,78,"SavedShot",0.869000015258789,0.495,0.471181601285934,"Vladimir Darida","a","OpenPlay",2019,"RightFoot",12456,"FC Cologne","Hertha Berlin",0,4,"2019-09-29 16:00:00",NA,"None",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"31",27,1,12459,323734,2,"MissedShots",0.848000030517578,0.359000015258789,0.0808127149939537,"Vladimir Darida","h","OpenPlay",2019,"RightFoot",12459,"Hertha Berlin","Fortuna Duesseldorf",3,1,"2019-10-04 19:30:00",NA,"TakeOn",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"32",27,23,12688,364615,48,"BlockedShot",0.889000015258789,0.467000007629395,0.0318016707897186,"Vladimir Darida","a","OpenPlay",2019,"Head",12688,"Freiburg","Hertha Berlin",2,1,"2020-06-16 18:30:00","Dodi Lukebakio","Aerial",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"33",27,15,12459,323754,61,"Goal",0.895999984741211,0.465999984741211,0.549502611160278,"Vladimir Darida","h","OpenPlay",2019,"RightFoot",12459,"Hertha Berlin","Fortuna Duesseldorf",3,1,"2019-10-04 19:30:00","Dodi Lukebakio","Pass",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"34",27,10,12533,336927,47,"BlockedShot",0.840999984741211,0.367000007629395,0.0201990064233541,"Vladimir Darida","h","FromCorner",2019,"RightFoot",12533,"Hertha Berlin","Freiburg",1,0,"2019-12-14 14:30:00",NA,"Aerial",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
"35",27,22,12472,325468,25,"SavedShot",0.785,0.530999984741211,0.0337651111185551,"Vladimir Darida","a","OpenPlay",2019,"RightFoot",12472,"Werder Bremen","Hertha Berlin",1,1,"2019-10-19 14:30:00","Maximilian Mittelstädt","Pass",0.905721643939614,2.08738788124174,0.0839083045721054,0,3,0,14,27,2,"Vladimir Darida",0.585714285714286,0.392857142857143,0.280920579884407,3.07701782975346,3,43,14.3333333333333
