"","id","fid","h","a","date","league_id","season","h_goals","a_goals","team_h","team_a","h_xg","a_xg","h_w","h_d","h_l","league","h_shot","a_shot","h_shotOnTarget","a_shotOnTarget","h_deep","a_deep","a_ppda","h_ppda"
"1","14819","1491999","151","150","2020-10-04 14:00:00","4","2020","0","2","Levante","Real Madrid","0.577329","1.87714","0.0783","0.1829","0.7388","La liga","11","13","4","3","6","13","7.8182","10.1923"
"1","14818","1491997","261","155","2020-10-04 16:30:00","4","2020","1","1","Cadiz","Granada","1.09095","0.820558","0.4235","0.329","0.2475","La liga","14","13","4","5","1","4","4.0000","9.5385"
"1","14817","1491995","148","138","2020-10-04 19:00:00","4","2020","1","1","Barcelona","Sevilla","1.05717","1.25522","0.2852","0.3073","0.4075","La liga","12","13","5","1","3","2","11.2121","15.8333"
"1","14831","1492023","155","138","2020-10-17 11:00:00","4","2020","1","0","Granada","Sevilla","1.08721","0.699011","0.4552","0.3442","0.2006","La liga","13","8","3","3","5","5","11.4118","8.0000"
"1","14828","1492017","152","143","2020-10-17 14:00:00","4","2020","0","2","Celta Vigo","Atletico Madrid","1.89737","1.51399","0.464","0.254","0.282","La liga","15","9","5","4","12","7","9.5185","13.8333"
"1","14833","1492027","150","261","2020-10-17 16:30:00","4","2020","0","1","Real Madrid","Cadiz","1.1359","1.768","0.214","0.2566","0.5294","La liga","14","14","2","5","10","2","23.5714","6.5000"
"1","14830","1492021","142","148","2020-10-17 19:00:00","4","2020","1","0","Getafe","Barcelona","1.70992","0.62541","0.6928","0.218","0.0892","La liga","9","7","4","1","4","4","5.0667","11.4000"
"1","14829","1492019","156","157","2020-10-18 10:00:00","4","2020","0","0","Eibar","Osasuna","0.371361","1.2646","0.0898","0.2619","0.6483","La liga","10","8","6","2","3","6","6.0000","10.3846"
"1","14826","1492013","147","151","2020-10-18 12:00:00","4","2020","2","0","Athletic Club","Levante","2.07013","0.281482","0.8762","0.1041","0.0197","La liga","14","6","5","1","9","5","10.5789","7.1200"
"1","14834","1492029","154","146","2020-10-18 14:00:00","4","2020","2","1","Villarreal","Valencia","1.59975","0.677588","0.6398","0.2406","0.1196","La liga","16","11","6","3","11","1","14.5714","10.3500"
