"","id","isResult","h.id","h.title","h.short_title","a.id","a.title","a.short_title","goals.h","goals.a","xG.h","xG.a","datetime","forecast.w","forecast.d","forecast.l"
"94","15851",TRUE,180,Metz,MET,181,Dijon,DJN,1,1,2.52379,2.43299,"2020-11-08 14:00:00",0.3962,0.2512,0.3526
"95","15853",TRUE,210,Lens,LEN,177,Reims,REI,4,4,2.04125,1.02999,"2020-11-08 14:00:00",0.637,0.2461,0.1169
"96","15854",TRUE,179,Lorient,LOR,168,Nantes,NAN,0,2,1.77629,1.46578,"2020-11-08 14:00:00",0.4379,0.2795,0.2826
"97","15849",TRUE,170,Nice,NIC,171,Monaco,MON,1,2,0.782745,1.87829,"2020-11-08 16:00:00",0.1056,0.2396,0.6548
"98","15855",TRUE,178,Lyon,LYO,175,Saint-Etienne,SEN,2,1,3.30537,1.46951,"2020-11-08 20:00:00",0.8023,0.1321,0.0656
"99","15856",TRUE,163,Rennes,REN,176,Bordeaux,BOR,0,1,1.95047,0.312448,"2020-11-20 18:00:00",0.8521,0.1234,0.0245
"100","15861",TRUE,171,Monaco,MON,161,Paris Saint Germain,PSG,3,2,3.28236,2.01645,"2020-11-20 20:00:00",0.6932,0.1814,0.1254
"101","15857",TRUE,241,Brest,BRE,175,Saint-Etienne,SEN,4,1,1.06599,1.08804,"2020-11-21 16:00:00",0.3268,0.3119,0.3613
"102","15863",TRUE,168,Nantes,NAN,180,Metz,MET,1,1,1.48835,1.30332,"2020-11-22 12:00:00",0.3953,0.2951,0.3096
"103","15858",TRUE,181,Dijon,DJN,210,Lens,LEN,0,1,0.672083,1.28012,"2020-11-22 14:00:00",0.1429,0.2889,0.5682
"104","15862",TRUE,166,Montpellier,MPL,225,Strasbourg,STR,4,3,2.65546,3.39205,"2020-11-22 14:00:00",0.2549,0.193,0.5521
"105","15864",TRUE,177,Reims,REI,235,Nimes,NIM,0,1,1.05404,0.955282,"2020-11-22 14:00:00",0.3134,0.4069,0.2797
"106","15865",TRUE,167,Angers,ANG,178,Lyon,LYO,0,1,0.948811,1.12013,"2020-11-22 16:00:00",0.2789,0.3225,0.3986
"107","15859",TRUE,160,Lille,LIL,179,Lorient,LOR,4,0,3.37221,0.462287,"2020-11-22 20:00:00",0.9386,0.0486,0.0128
"108","15834",TRUE,210,Lens,LEN,168,Nantes,NAN,1,1,0.875771,2.16695,"2020-11-25 12:00:00",0.0706,0.1888,0.7406
